group	cancer_label	n_tests	n_significant_BH	significance_percent	mean_odds_ratio	median_odds_ratio	mean_precision	mean_precision_percent	mean_detected_n	mean_cancer_detected_n
full_ortholog_mean_TOX	CGC	8	8	100	1.8736692612089167	1.8453535774228755	0.04844903288057688	4.844903288057687	5855.25	255.75
std_log_family_mean_TOX	CGC	7	7	100	1.763236800331988	1.8296964530145197	0.04454886810182694	4.454886810182694	6133.714285714285	271.2857142857143
std_log_ortholog_mean_TOX	CGC	7	7	100	1.7606593184808268	1.9111966089436634	0.04426682813179527	4.426682813179527	6129.857142857143	271.14285714285717
full_family_mean_TOX	CGC	8	7	87.5	1.724770130572809	1.7526154671748264	0.04372323883295564	4.3723238832955635	5912.375	257.625
TOX_AND_DGE	CGC	9	7	77.77777777777777	1.2851446966485935	1.3736212246366646	0.03588454133775568	3.5884541337755675	6154.555555555556	235.66666666666666
ALL_TOX	CGC	9	6	66.66666666666667	1.2091469718538086	1.3331941568163566	0.03370416817296041	3.370416817296041	7495.111111111111	271
ALL_DGE	CGC	9	4	44.44444444444444	Inf	1.230194259557327	0.03353597920333653	3.353597920333653	14013.555555555555	468.8888888888889
ALL_limma	CGC	9	4	44.44444444444444	3.2683990339189615	1.2764472891803924	0.03452856583621096	3.452856583621096	12692.555555555555	435.1111111111111
ALL_edgeR	CGC	9	3	33.333333333333336	Inf	1.187287936423981	0.03377532612104883	3.377532612104883	13154.222222222223	442.8888888888889
ONLY_DGE	CGC	9	2	22.22222222222222	0.9972745137774005	0.7500782949634148	0.029291861279984042	2.9291861279984044	7859	233.22222222222223
ONLY_TOX	CGC	9	0	0	0.6873980432197107	0.8128797482438572	0.023224630527229666	2.3224630527229664	1340.5555555555557	35.333333333333336
log_family_mean_TOX	CGC	9	0	0	0.5869321241357157	0.5699927985045381	0.021298162771695644	2.1298162771695646	3354.1111111111113	73
log_ortholog_mean_TOX	CGC	9	0	0	0.5687923680598876	0.5778990272823008	0.02075492119651651	2.075492119651651	3362.777777777778	71.55555555555556
std_log_family_mean_TOX	MERGED	7	7	100	1.3115241215803537	1.314517205484873	0.22960017941291164	22.960017941291163	6133.714285714285	1408
std_log_ortholog_mean_TOX	MERGED	7	7	100	1.2981797199621543	1.3220342084681	0.2283059666543943	22.83059666543943	6129.857142857143	1401.857142857143
TOX_AND_DGE	MERGED	9	8	88.88888888888889	1.284852052351023	1.2971755010791055	0.22653352518954722	22.653352518954723	6154.555555555556	1391.7777777777778
full_ortholog_mean_TOX	MERGED	8	7	87.5	1.3016927107672103	1.3245258743351873	0.2301523139102335	23.01523139102335	5855.25	1337.125
full_family_mean_TOX	MERGED	8	7	87.5	1.2828343304018635	1.31798917835695	0.22733401904302875	22.733401904302873	5912.375	1347.5
ALL_TOX	MERGED	9	7	77.77777777777777	1.2012660689740724	1.2671949691433333	0.21545202830785626	21.545202830785627	7495.111111111111	1634.4444444444443
ALL_DGE	MERGED	9	5	55.55555555555556	1.3000870860621503	1.1841838194129986	0.20563969519036313	20.563969519036313	14013.555555555555	2874.3333333333335
ALL_limma	MERGED	9	4	44.44444444444444	1.26858604418876	1.1131544860742015	0.20754223551228446	20.754223551228446	12692.555555555555	2621.6666666666665
ALL_edgeR	MERGED	9	3	33.333333333333336	1.2488003711171483	1.100472004819855	0.20593708030352903	20.593708030352904	13154.222222222223	2701.777777777778
log_family_mean_TOX	MERGED	9	1	11.11111111111111	1.007494283346953	0.9971050209228266	0.20378674397043633	20.378674397043632	3354.1111111111113	685.8888888888889
log_ortholog_mean_TOX	MERGED	9	0	0	0.9864116002980466	0.9765567135924254	0.20124257891571332	20.124257891571332	3362.777777777778	677.7777777777778
ONLY_DGE	MERGED	9	0	0	0.8466449680431043	0.7891445470905191	0.18749778869098238	18.74977886909824	7859	1482.5555555555557
ONLY_TOX	MERGED	9	0	0	0.8126458281432973	0.8444634892036452	0.17296563902578196	17.296563902578196	1340.5555555555557	242.66666666666666
std_log_family_mean_TOX	NCG	7	7	100	1.294171145449254	1.2909453294070274	0.20384208755493363	20.384208755493365	6133.714285714285	1250.142857142857
std_log_ortholog_mean_TOX	NCG	7	7	100	1.2810926204465933	1.2895522107526827	0.20268361582466646	20.268361582466646	6129.857142857143	1244.4285714285713
TOX_AND_DGE	NCG	9	8	88.88888888888889	1.2981790835970468	1.3060972709700167	0.20357211896679261	20.35721189667926	6154.555555555556	1246.2222222222222
full_ortholog_mean_TOX	NCG	8	7	87.5	1.2977773341752767	1.312590477320981	0.20545312772022822	20.54531277202282	5855.25	1192
full_family_mean_TOX	NCG	8	7	87.5	1.2832761810369129	1.3056275489180547	0.20351543316424336	20.351543316424337	5912.375	1201.125
ALL_TOX	NCG	9	7	77.77777777777777	1.229518573581516	1.2945973105798503	0.19433013833622553	19.433013833622553	7495.111111111111	1468.7777777777778
ALL_limma	NCG	9	4	44.44444444444444	1.239375066371158	1.096882438988555	0.18427333814354074	18.427333814354075	12692.555555555555	2328.222222222222
ALL_DGE	NCG	9	3	33.333333333333336	1.2302312347610238	1.1438343343141808	0.18255325561194705	18.255325561194706	14013.555555555555	2552.1111111111113
log_family_mean_TOX	NCG	9	2	22.22222222222222	1.0738366900530547	1.066376451291944	0.18891489212344845	18.891489212344844	3354.1111111111113	635.6666666666666
log_ortholog_mean_TOX	NCG	9	2	22.22222222222222	1.0466775880266577	1.0260933529719276	0.18601708665905212	18.60170866590521	3362.777777777778	626.3333333333334
ALL_edgeR	NCG	9	1	11.11111111111111	1.187867779463133	1.0701459591629476	0.18256862676939092	18.256862676939093	13154.222222222223	2396.222222222222
ONLY_TOX	NCG	9	0	0	0.852456865685092	0.8742524769546988	0.15928057380232916	15.928057380232916	1340.5555555555557	222.55555555555554
ONLY_DGE	NCG	9	0	0	0.8240271297483647	0.7724409681896373	0.1651240798433416	16.51240798433416	7859	1305.888888888889
full_ortholog_mean_TOX	OncoKB	8	8	100	1.6650466207477357	1.6823343522596632	0.09230122009942805	9.230122009942805	5855.25	505
std_log_family_mean_TOX	OncoKB	7	7	100	1.6187812640122143	1.6752690848978935	0.08775110277080622	8.775110277080621	6133.714285714285	536.8571428571429
std_log_ortholog_mean_TOX	OncoKB	7	7	100	1.6066856277605601	1.689859324453886	0.08725054948457384	8.725054948457384	6129.857142857143	535.4285714285714
full_family_mean_TOX	OncoKB	8	7	87.5	1.5852437496630987	1.618617949700603	0.08700126688960952	8.700126688960951	5912.375	509.875
ALL_edgeR	OncoKB	9	7	77.77777777777777	2.9735118097856366	1.2665726282260448	0.07072394469749527	7.0723944697495265	13154.222222222223	926.3333333333334
ALL_limma	OncoKB	9	7	77.77777777777777	1.8612318540344897	1.2366838069106363	0.07142671711381517	7.142671711381516	12692.555555555555	900.5555555555555
TOX_AND_DGE	OncoKB	9	7	77.77777777777777	1.32651742134069	1.4062770524169526	0.07712327571054943	7.712327571054943	6154.555555555556	490.44444444444446
ALL_TOX	OncoKB	9	6	66.66666666666667	1.2100452524401943	1.3322982967525954	0.07136311281089724	7.136311281089725	7495.111111111111	561.3333333333334
ALL_DGE	OncoKB	9	5	55.55555555555556	3.057134554361538	1.3132277300988995	0.07017946954251988	7.017946954251989	14013.555555555555	980.2222222222222
ONLY_DGE	OncoKB	9	1	11.11111111111111	0.9090683846727055	0.7505826603827731	0.061610419014124736	6.1610419014124735	7859	489.77777777777777
log_family_mean_TOX	OncoKB	9	0	0	0.6928436913977806	0.6454161100399111	0.05163037326438279	5.163037326438278	3354.1111111111113	174.88888888888889
log_ortholog_mean_TOX	OncoKB	9	0	0	0.6868668882337471	0.6436721600901187	0.051288701429934296	5.12887014299343	3362.777777777778	174.33333333333334
ONLY_TOX	OncoKB	9	0	0	0.6600608363444201	0.7614825495077613	0.0472237558468926	4.72237558468926	1340.5555555555557	70.88888888888889
